,name,address,city,rating,description,link,lon,lat
231,Les chambres du domaine,"3 Cour Unterlinden, Eguisheim",Eguisheim,9.4,"Situé à Eguisheim, en Alsace, avec le marché de Noël d'Eguisheim Situé à proximité, l'établissement Les chambres du domaine propose des hébergements avec connexion Wi-Fi gratuite. Lire plus…",https://www.booking.com/hotel/fr/les-chambres-du-domaine.fr.html?,,
232,GITE LE COQ ROUGE,"41 Rue du Rempart Sud, Eguisheim",Eguisheim,9.9,"Doté d'un jardin, d'un barbecue et d'une terrasse, le GITE LE COQ ROUGE propose un hébergement à Eguisheim avec une connexion Wi-Fi gratuite et une vue sur la ville. Lire plus…",https://www.booking.com/hotel/fr/gite-le-coq-rouge.fr.html?,,
233,Elsass Design Hygge,"20 Rue du Rempart Sud, Eguisheim",Eguisheim,9.5,"Situé à Eguisheim, l'Elsass Design Hygge propose un service de prêt de vélos, une connexion Wi-Fi gratuite et une vue sur la ville. Lire plus…",https://www.booking.com/hotel/fr/elsass-design-hygge.fr.html?,,
234,La Légende des 2 Pierres,"93, rue Rempart Sud, Eguisheim",Eguisheim,9.3,"Situé dans le pittoresque village d'Eguisheim, l'appartement indépendant La Légende des 2 Pierres offre une vue sur la montagne. Un local à skis est à votre disposition. Lire plus…",https://www.booking.com/hotel/fr/la-legende-des-2-pierres.fr.html?,,
235,Guesthouse Les 3 Chateaux,"61 Rue du Rempart Nord, Eguisheim",Eguisheim,8.8,"Situé à 100 mètres du marché de Noël d'Eguisheim, le Guesthouse Les 3 Chateaux propose une terrasse et une connexion Wi-Fi gratuite. Lire plus…",https://www.booking.com/hotel/fr/guesthouse-les-3-chateaux.fr.html?,,
236,notre maison à Eguisheim,"33 Rue du Rempart Sud, Eguisheim",Eguisheim,  9,"Offrant une vue sur le jardin, l'établissement notre maison à Eguisheim vous propose des hébergements avec une terrasse et une bouilloire, à environ 1 km du marché de Noël d'Eguisheim. Lire plus…",https://www.booking.com/hotel/fr/notre-maison-a-eguisheim.fr.html?,,
237,B&B Relais du Vigneron - Jean-Luc et Bruno Meyer,"4 Rue des 3 Châteaux, Eguisheim",Eguisheim,9.3,"Situé à Eguisheim, en Alsace, à proximité du marché de Noël d'Eguisheim, le B&B Relais L'établissement du Vigneron - Jean-Luc et Bruno Meyer propose des hébergements avec connexion Wi-Fi et parking...Lire plus…",https://www.booking.com/hotel/fr/relais-du-vigneron-meyer.fr.html?,,
238,"4 bedrooms luxury appartment for 10p in Eguisheim, 10 mn from Colmar","2e étage 5 Place du Marché aux Saules, Eguisheim",Eguisheim,9.6,"Situé à Eguisheim, à 10 mn de Colmar, au cœur du marché de Noël d'Eguisheim, l'établissement 4 bedrooms luxury apartment for 10 p offre une vue sur la ville. Lire plus…",https://www.booking.com/hotel/fr/4-bedrooms-luxury-appartment-for-10p-in-eguisheim-10-mn-from-colmar.fr.html?,,
239,Gîte au château fleuri,"5 place du château, Eguisheim",Eguisheim,9.6,"Situé à Eguisheim, en Alsace, à proximité du marché de Noël d'Eguisheim, le Gîte au château fleuri propose un hébergement avec connexion Wi-Fi et parking privé gratuits. Lire plus…",https://www.booking.com/hotel/fr/gite-au-chateau-fleuri.fr.html?,,
240,ibis Styles Besançon,"22 bis Rue de Trey, Besançon",Besancon,7.9,"Idéalement situé dans un parc, l'hôtel ibis Styles Besançon se trouve à 15 minutes à pied de la gare TGV et du centre de Besançon. Lire plus…",https://www.booking.com/hotel/fr/besancon.fr.html?,,
